ID,Previsao
13518783164498355150900635905895481162,133611.86634871564
299896161723793383246777788797566040330,132539.65982262345
316180649972302128246133616457018378621,132478.6901515483
222527157104148385909188217274642813298,132829.331975109
160460343059850745858546502614838368036,133061.71221200773
262727202368986244371977784343233436999,132678.8216551284
254093764205800086330999281077926851120,132711.14553764928
26118184613036116787803832945215674478,133564.69376641905
216524630140335566712794225427064313,133661.67045155386
185631381169816366226494379020452029389,132967.4709997102
193325654448132563278364141820152041311,132938.66338206927
238917637717691361625086479663492481749,132767.9654650584
55430829679256880238551444522175018156,133454.94623854116
215317645068876070368783807654911699750,132856.32463037057
81597227204971961501733390453078413740,133356.97836715225
144896666825908872755051834814298387194,133119.98313868488
184599608599423525451999366981389806783,132971.33399087584
332523842755767369964829329030378044388,132417.50068872212
115343777354602647202140618045743635008,133230.63014968633
20757170217235469489036110086071917277,133584.76558441867
185526399598537813925895625787601650168,132967.86405423988
60658042813489826886245400795986219027,133435.37537695988
252469656136469704862465423825396909961,132717.2262528223
144289133420257677937750963126363910239,133122.25776416555
286704706212186527658783613441315754259,132589.04907522208
104788498292328609834480593297039083847,133270.14946909706
83091551517048057678460117003997132666,133351.38356672644
253819240599250454081144283787356606601,132712.17336325473
47552100267769170589122325402191982347,133484.44446614146
143932540867090135955180920741784357244,133123.59285866423
196345985565471044954698780677909306202,132927.3551608988
244792708737468723430839923035345593106,132745.969001789
84589940414664494482357035061818012137,133345.77354835582
272199586960887794853261858460695880945,132643.3567289943
49959439507026713714422386346459644032,133475.43130715578
281026519311657672970881937258693325762,132610.30839773474
93074564150014753673961081882123830374,133314.00683205214
26728401390792884431172378844166640182,133562.40909430306
188211565885838356078706489204052877949,132957.81070145284
72487946181948797581370306862646034491,133391.08382132614
228864048115975611203958077134700148633,132805.60644227467
112454259487642510247400972640243226784,133241.44860165275
222663295482952330188872827964862490542,132828.82226844522
174300102534868734265445704595501072047,133009.8956875905
65616068149477861830943576277231644996,133416.81236353848
12512429268260634755522419284910697215,133615.63417151134
336344009530167442733355949279054127993,132403.19785598136
79522286518792634854353998912967788405,133364.74701478833
82689802293775881487902613650793199776,133352.88772931503
145087209205382180995284342956932775590,133119.2697416149
148379644220249469735831915363404593938,133106.94275431082
81783415914068556337040372580510327746,133356.28127037044
17392005129747944984443660408573750669,133597.36487555798
221003909581330971303914733428302885356,132835.0350650075
32270994133870633595828638411924379558,133541.65744087115
